"code_departement_acheteur","quantite_total_glyphosate"
"01",65362.63626
"02",151136.79215
"03",70986.68271
"04",15083.165
"05",4641.4
"06",6050.52494
"07",32525.42799
"08",67059.70553
"09",20202.943552
"10",146004.37092
"11",154869.81891
"12",35564.6717
"13",85001.57798
"14",101424.7745
"15",11982.8877
"16",233923.2682
"17",347598.171904
"18",169359.9654
"19",14215.805
"21",136543.80878
"22",80977.79256
"23",28060.15
"24",89908.389
"25",16501.52503
"26",80915.9735
"27",163364.985
"28",144757.85416
"29",92748.9518
"2A",1295.208
"2B",21838.5028
"30",127321.41586
"31",145920.726748
"32",211612.43489
"33",218375.56055
"34",183871.81424
"35",65910.472
"36",178076.49605
"37",210385.2695
"38",50607.61152
"39",31320.393
"40",87335.01078
"41",126395.245
"42",18160.13549
"43",17733.992
"44",93778.05157
"45",142077.5284
"46",34566.368655
"47",190994.68333
"48",4980.0575
"49",148959.7282
"50",55170.92127
"51",231228.900512
"52",104910.10714
"53",71793.13826
"54",83601.68834
"55",102131.51821
"56",87080.73194
"57",74383.21323
"58",66419.71334
"59",86574.56254
"60",141218.254818
"61",82899.091364
"62",140543.53854
"63",68834.69845
"64",76866.61225
"65",24247.921
"66",45374.4141
"67",38028.77235
"68",26528.11831
"69",71106.6117
"70",44290.3748
"71",101448.217836
"72",105610.3293
"73",9772.05336
"74",8011.12144
"75",6298.57136
"76",171830.7034
"77",150420.993784
"78",31585.18748
"79",133954.65298
"80",170557.3064
"81",89304.2088
"82",125393.637
"83",48046.3558
"84",97519.20094
"85",161398.39744
"86",208828.0099
"87",26230.485
"88",20589.998
"89",151028.591
"90",3339.77
"91",34176.2029
"92",3062.74316
"93",749.7168
"94",1183.84479
"95",28901.4969
"971",1.305
"972",28.8
"973",21.6
